SampleSize,EstimatedThetaG_P,EstimatedSigmaG_P,EstimatedThetaTildeG_P,EstimatedGammaG_P,EstimatedLambdaG_P1,EstimatedSigmaLambda2G_P1,EstimatedLambdaG_P2,EstimatedSigmaLambda2G_P2,EstimatedThetaLR_P,EstimatedGammaLR_P,EstimatedGammaHuangLR_P,EstimatedLambdaLR_P1,EstimatedSigmaLambda2LR_P1,EstimatedLambdaLR_P2,EstimatedSigmaLambda2LR_P2
50,0.75919921875,9.634672,0.633828125,0.785895557403569,2.04717476051464,3.60683681741375,6.13597298625419,82.0540253534884,0.797746592300187,1.41545659581045,0.626811893819901,2.01776299580876,5.45896927071739,6.13597298625419,82.1325668125964
50,0.87267578125,5.737656,0.75140625,0.735314960479743,1.74259646780773,2.32434965855064,5.91715566460237,86.4078573837919,0.784679233354164,1.22308011084339,0.31806181058173,1.85866046916585,4.14176644281505,5.91715566460237,85.861429480585
50,0.809990234375,8.02645599999999,0.672109375,0.95055656909943,1.87277323613723,4.79994859979577,6.10067524943258,82.3742997096898,0.907468899468361,1.58492721599102,1.00017518603787,1.68398800344647,5.94210798391882,6.10067524943258,87.4094531312589
50,0.7369140625,10.830264,0.63123046875,0.558451099395755,2.23777323327811,4.57836623948893,6.19942703086516,84.1111473549695,0.762654618618572,1.16247442798189,0.633453488882006,2.14093183542864,7.28514732431678,6.19942703086516,88.193283432755
50,0.551933593749999,9.035952,0.448984374999999,0.529927082061771,2.32979434132663,3.16188030280509,6.06408585241347,82.0396643007621,0.681004324269579,1.11448995221927,1.02072506518658,2.20966613619842,4.62702393043045,6.06408585241347,82.0396643007621
50,0.459511718749999,11.535968,0.341796874999999,0.692839221954351,2.6561615547905,5.05449639090162,6.15126963298682,82.056950249471,0.658486360859362,0.632541144271573,0.737567197693008,2.25981287973473,5.24031151374141,6.15126963298681,82.056950249471
50,0.568749999999999,8.63408,0.448984374999999,0.717190246582037,2.27670100742204,5.19550849424174,6.09265918517555,82.0454963704739,0.597202804568914,1.0959168398557,0.458100887956964,2.23823946896051,6.5744420219892,6.09265918517555,82.2788492518524
50,0.64271484375,14.250392,0.533613281249999,0.595157546997075,2.2487408699243,4.90536284466908,6.27598606536082,82.0791993114651,0.728923686094541,0.983927629645202,0.742888298853095,2.02244302642444,5.57805423065932,6.27598606536082,82.0791993114651
50,0.67607421875,9.566416,0.567998046874999,0.584022946357731,2.12697312952398,2.7781989702473,6.08862692711104,82.0446834152189,0.760337864595484,1.02262994179444,0.838739815040322,2.03013173167451,3.54710632137311,6.08862692711104,82.3254993747524
50,0.779365234375,10.38524,0.669375,0.604892582893373,1.93802093952117,4.21025956340081,6.11258013631581,84.8504724454953,0.708653014186403,1.09522282747213,0.225581304507661,2.18540909734945,5.8574024260225,6.11258013631581,83.2791724538969
50,0.68482421875,5.006616,0.564374999999999,0.725400714874273,2.08182645895425,4.11713763598226,5.89778463670776,82.0022050521029,0.632270304377859,1.22278856917045,0.417797900486206,2.20697138649048,6.15985423573173,5.89778463670776,82.0022050521029
50,0.71982421875,7.269352,0.5884375,0.863123493194587,1.98715647722903,2.38718324144569,5.98214360814942,82.1834915803386,0.804031143809661,1.10681113403699,0.660889452971631,1.86393361770399,2.76145744569453,5.98214360814943,82.9994542153132
50,0.9069921875,7.000904,0.7853125,0.740297317504886,1.79855501997245,2.86588292903236,5.97311421676709,82.3652822485828,0.918933529572713,1.29394429090384,0.786482539370504,1.74521220347174,3.83661078799495,5.97311421676709,85.7128607227864
50,0.493281249999999,10.27748,0.375429687499999,0.694449539184576,2.72789857391686,5.88521985902688,6.10862756714585,82.0486837992537,0.574299001550129,1.182234146012,0.764762932971076,2.51088791000217,8.35085760935866,6.10862756714585,82.089320265948
50,0.701298828125,8.259032,0.587343749999999,0.649287991523748,2.49964436991908,5.39732018499637,6.04738402706277,82.0361773376468,0.676845320952465,0.932286322780303,0.364658072184058,2.607831504422,6.37845719400305,6.04738402706277,82.0361773376468
50,0.590556640625,8.634864,0.465117187499999,0.786752820014961,2.09767205425516,5.17655345713225,6.09265918517555,82.0454963704739,0.657395041020676,1.11505370958219,0.704759507498664,1.91809998838091,5.50672094193532,6.09265918517555,82.0454963704739
50,0.683046875,9.488064,0.567382812499999,0.668908767700201,2.11759300539542,4.61350496217608,6.11258013631581,82.0494649394059,0.741524728044391,1.61206875386577,0.818316757169727,1.99437014587038,7.32209781421303,6.11258013631581,84.1568190817168
50,0.7932421875,6.818224,0.6794921875,0.646953125000003,1.59584286889254,1.71131752211798,5.96856876222164,82.0189133035966,0.718687141942102,1.21392888674402,0.38363011559614,1.71502572328526,2.51723094169135,5.96856876222164,82.0189133035966
50,0.62384765625,12.736528,0.515703124999999,0.584761981964115,2.2937236986183,4.29735077713583,6.22089473758467,82.0697123767814,0.526192204840358,1.16769286506332,0.163860334131432,2.57553603282194,7.92781378290561,6.22089473758467,82.0697123767814
50,0.580371093749999,9.39788,0.468124999999999,0.629959278106694,2.4098619992153,4.24551669793267,6.10067524943257,82.0471028090797,0.719074113812173,0.673933034040618,0.682439313582387,2.10568811851219,4.54240259594023,6.10067524943258,82.0471028090797
50,0.74470703125,5.991384,0.625625,0.709026508331303,1.80802568226494,2.79618118115857,5.9548071012818,82.0157568707875,0.770865862146441,1.00108539701483,0.508105268077611,1.72690508798645,3.21981797574212,5.9548071012818,82.0157568707875
50,0.834462890625,11.874984,0.721875,0.63380165576935,1.83899357259538,4.41897170269599,6.25568081858148,82.1025673398935,0.879392569595345,1.2458536691959,0.664375657178198,1.62666760414913,6.12419828065197,6.25568081858148,85.8190107075314
50,0.512490234374999,6.035968,0.393886718749999,0.703339695930486,2.47760314196161,4.7338423983642,5.91715566460237,82.0068956486262,0.604114315673737,1.09914376209745,0.823468787260991,2.2263424143851,5.21925347083261,5.91715566460237,82.0068956486262
50,0.674638671875,10.827352,0.575859374999999,0.487867474555973,1.93438676243252,3.02612486885,6.13597298625419,82.0540253534885,0.586913684548778,0.888383682158699,0.108265190932671,2.20880194728782,4.17368457634224,6.13597298625419,82.0540253534884
50,0.708818359375,5.773904,0.5947265625,0.650846905708317,1.91360821622869,2.7027450496797,5.94085341166521,82.0125117330865,0.659564641564173,1.30753446370898,0.166630163646449,2.01368237269884,4.19471934484811,5.94085341166521,82.0125117330865
50,0.697333984375,9.620376,0.575312499999999,0.744462132453924,2.29684991677177,5.13475769404229,6.15126963298682,82.056950249471,0.616019448880858,1.51854801700403,0.303377258322638,2.50591092822409,6.98467043030992,6.15126963298682,82.056950249471
50,0.510166015624999,4.116552,0.382265624999999,0.817925496101386,2.40870257657928,5.15995504214405,5.78943156980827,81.9742244527141,0.504527756223812,1.06025014981955,0.675662510462157,2.40870257657928,5.32908864159159,5.78943156980827,81.9742244527141
50,0.8225,9.432744,0.71859375,0.539825439453127,1.84031607052308,1.71317817617221,6.06821808381843,82.2981476933001,0.617605350488348,1.60029545679296,0.000349646002647253,2.10656428623137,4.40969421434952,6.06821808381843,82.1001572764373
50,0.6444921875,7.080432,0.535390624999999,0.595157546997074,2.3266540613546,3.76373047622095,6.01746731157187,82.0297839429454,0.762636036426318,1.09801371045094,1.01502447700447,2.16304759535683,6.35377681204609,6.01746731157188,82.0297839429454
50,0.7139453125,10.674912,0.6059375,0.583284378051764,2.04538605980614,4.82247398584222,6.192167478823,82.0645541813806,0.725001124291736,1.1576319472868,0.657674027096554,2.04538605980614,7.36448600266772,6.192167478823,82.8935139464721
50,0.70423828125,10.481784,0.59294921875,0.619262771606451,2.05689900838501,5.06692371342595,6.23145820517965,82.0715721729476,0.671128772858525,1.02455821756554,0.168675342942407,2.17296300974313,7.6214621260523,6.23145820517965,82.0715721729476
50,0.73390625,8.57892,0.6248046875,0.595157546997073,1.93373188444781,3.26368766576461,6.08051330346468,82.0430376362307,0.675657143647826,1.30617265693044,0.179256132006294,2.02201810802816,6.06879217385809,6.08051330346468,82.0830497457746
